id;shop;entity_id;entity_type;event_source;event_type;status;create_at;additional_info
1;Awesome;90428;SUBSCRIPTION_BILLING_ATTEMPT;CUSTOMER_PORTAL;BILLING_INTERVAL_CHANGE;SUCCESS;2021-12-25T06:36:55;../fake-data/blob/hipster.txt
2;Beauty back-end alarm;8222;SUBSCRIPTION_BILLING_ATTEMPT;CUSTOMER_PORTAL;NEXT_BILLING_DATE_CHANGE;SUCCESS;2021-12-24T22:07:04;../fake-data/blob/hipster.txt
3;Handmade Kwacha;3236;SUBSCRIPTION_BILLING_ATTEMPT;MERCHANT_PORTAL;BILLING_INTERVAL_CHANGE;SUCCESS;2021-12-24T09:20:43;../fake-data/blob/hipster.txt
4;Corporate analyzer;14640;SUBSCRIPTION_CONTRACT_DETAILS;MERCHANT_PORTAL;BILLING_INTERVAL_CHANGE;SUCCESS;2021-12-24T17:48:01;../fake-data/blob/hipster.txt
5;wireless;41017;SUBSCRIPTION_BILLING_ATTEMPT;SHOPIFY_EVENT;DELIVERY_INTERVAL_CHANGE;SUCCESS;2021-12-24T23:38:35;../fake-data/blob/hipster.txt
6;Dalasi;93649;SUBSCRIPTION_CONTRACT_DETAILS;CUSTOMER_PORTAL;BILLING_INTERVAL_CHANGE;FAILURE;2021-12-24T15:42:55;../fake-data/blob/hipster.txt
7;generating Handmade Wooden Soap;16985;SUBSCRIPTION_BILLING_ATTEMPT;SHOPIFY_EVENT;BILLING_INTERVAL_CHANGE;SUCCESS;2021-12-24T15:06:51;../fake-data/blob/hipster.txt
8;protocol Arizona Response;52088;SUBSCRIPTION_CONTRACT_DETAILS;MERCHANT_PORTAL;BILLING_ATTEMPT_TRIGGERED;SUCCESS;2021-12-25T08:22:51;../fake-data/blob/hipster.txt
9;Vision-oriented bleeding-edge Montana;43109;SUBSCRIPTION_BILLING_ATTEMPT;MERCHANT_PORTAL;NEXT_BILLING_DATE_CHANGE;SUCCESS;2021-12-25T05:11:34;../fake-data/blob/hipster.txt
10;backing up;76573;SUBSCRIPTION_BILLING_ATTEMPT;SHOPIFY_EVENT;BILLING_ATTEMPT_TRIGGERED;FAILURE;2021-12-24T17:16:17;../fake-data/blob/hipster.txt
