id;shop;selected_frequency_label_text;add_button_text;select_minimum_product_button_text
1;Gorgeous;Fantastic Shoes models;Soft holistic;Fresh navigating
2;turn-key orchestrate;Small Cotton Mouse Borders;Checking Account;Checking Account National blue
3;back-end;Soft HTTP;high-level Tools Refined;Pound Sterling
4;success Rustic mission-critical;copying;navigating end-to-end fault-tolerant;Product
5;Product;Avon Table;bandwidth-monitored Corner optical;Latvian Lats
6;Glen;Checking Account;Gorgeous Rubber Pants Money Market Account Savings Account;Small Soft Fish Investment Account
7;Nevada framework Guinea Franc;Greenland;relationships;calculate
8;Markets Global;Industrial bandwidth;Dynamic;Senior Car interface
9;grow Trinidad and Tobago Mouse;Shoes Ramp IB;Roads Costa Rican Colon Refined;pink Product
10;parallelism Guatemala;Sharable withdrawal e-commerce;Administrator next-generation;Licensed Plastic Table
