id;shop;summary_report_enabled;summary_report_frequency;summary_report_deliver_to_email;summary_report_time_period;summary_report_last_sent;summary_report_processing
1;Savings Account backing up;true;Regional;Practical Granite Mouse;Response New Mexico Gloves;2019-06-13T05:33:54;true
2;Personal Loan Account Configuration Knoll;false;Moldovan Leu static wireless;Clothing Fresh;uniform Buckinghamshire Internal;2019-06-13T06:45:17;true
3;synergize Steel Granite;true;Function-based Generic Cove;Profit-focused neural;supply-chains;2019-06-13T09:06:56;false
4;discrete;false;system;THX transmitter Gourde US Dollar;Bedfordshire reboot best-of-breed;2019-06-12T16:17:29;false
5;Home Loan Account Berkshire deposit;true;Producer Berkshire Granite;Wooden reboot innovate;empowering scale;2019-06-12T19:01:19;false
6;Accountability Pines Intelligent Soft Chicken;true;Iraq Profit-focused;primary e-business;microchip;2019-06-12T18:49:43;true
7;secondary Palestinian Territory Montserrat;true;Handmade Concrete Shirt extend;Berkshire Human;Nicaragua;2019-06-13T07:59:09;false
8;Credit Card Account;false;maroon Self-enabling Keyboard;Metical cross-platform;Rubber withdrawal Delaware;2019-06-13T12:58:41;false
9;Vatu Specialist;true;Paradigm generate transmit;Gorgeous Cotton Hat;back-end;2019-06-13T09:36:05;false
10;SQL customer loyalty redundant;true;driver transition;Puerto Rico interfaces;Chair wireless;2019-06-12T20:24:41;true
