id;shop;order_frequency_text;total_products_text;next_order_text;status_text;cancel_subscription_btn_text;no_subscription_message;subscription_no_text;update_payment_message;card_last_four_digit_text;card_expiry_text;card_holder_name_text;card_type_text;payment_method_type_text;cancel_accordion_title;payment_detail_accordion_title;upcoming_order_accordion_title;payment_info_text;update_payment_btn_text;next_order_date_lbl;status_lbl;quantity_lbl;amount_lbl;order_no_lbl;edit_frequency_btn_text;cancel_freq_btn_text;update_freq_btn_text;pause_resume_sub;change_next_order_date;cancel_sub;change_order_frequency;create_additional_order;manage_subscription_button_text;edit_change_order_btn_text;cancel_change_order_btn_text;update_change_order_btn_text;edit_product_button_text;delete_button_text;update_button_text;cancel_button_text;add_product_button_text;add_product_label_text;active_badge_text;close_badge_text;skip_order_button_text;product_label_text;see_more_details_text;hide_details_text;product_in_subscription_text;edit_quantity_label_text;sub_total_label_text;payment_notification_text;edit_product_flag;delete_product_flag;show_shipment;add_additional_product;success_text;cancel_subscription_confirm_prepaid_text;cancel_subscription_confirm_pay_as_you_go_text;cancel_subscription_prepaid_button_text;cancel_subscription_pay_as_you_go_button_text;upcoming_fulfillment_text;credit_card_text;ending_with_text;week_text;day_text;month_text;year_text;skip_badge_text;queue_badge_text;customer_portal_setting_json;order_note_flag;order_note_text;use_url_with_customer_id;product_selection_option;include_out_of_stock_product;open_badge_text;update_shipment_billing_date;discount_code;freeze_order_till_min_cycle;add_one_time_product;allow_order_now;allow_split_contract
1;Handcrafted;firewall input;Handmade Paradigm;Hat;Factors collaborative;New Leu;Generic;Operations Buckinghamshire New Caledonia;Advanced Arkansas Tuvalu;infrastructures Hawaii Orchestrator;AI Papua New Guinea Cotton;deposit;circuit;Licensed Metal Bike world-class Buckinghamshire;driver;markets;Bahrain;empower;extend Berkshire circuit;Architect Colorado;Technician;deliver Progressive Phased;content-based;Enhanced;Brand;Orchestrator azure Markets;Wooden Buckinghamshire Product;false;false;true;true;true;Factors port Division;redundant deposit;withdrawal;intangible navigate;Fish copying Poland;orchid;Consultant;yellow quantifying transmitting;invoice copying dot-com;Idaho Tasty Cotton Fish;bus Salad Legacy;IB overriding transmitter;hacking primary IB;Macedonia;ROI;open-source visualize Incredible;maximized Auto Loan Account Cambridgeshire;RAM;transform;Metal frictionless Libyan Arab Jamahiriya;false;true;true;true;Grocery;scale;Tennessee;Down-sized Niue;Granite Drive Upgradable;gold leverage;Intelligent Fully-configurable;Chips;relationships Borders transmitting;Ridges Lebanese Pound;firewall magenta;New Leu calculating;Rustic Plastic Fish Tactics;Forest;../fake-data/blob/hipster.txt;false;Savings Account;true;PRODUCTS_FROM_CURRENT_PLAN;false;redundant 5th generation Plastic;true;true;true;false;true;false
2;Berkshire Product;Berkshire fuchsia;Solutions;Decentralized optical Practical Fresh Salad;Home Loan Account Computer synergy;Persistent;Analyst Hong Kong Dollar;plug-and-play;override;overriding Iranian Rial repurpose;Program;Producer;24/365 workforce Rubber;silver Frozen;hacking;Central;payment Bedfordshire;engage;Car green optimize;Implementation;navigating adapter;functionalities;analyzing;dynamic azure Synchronised;Investor;Dynamic;Grocery IB;true;false;true;true;true;invoice withdrawal;Intelligent New Mexico deploy;New Mexico;Gambia Associate;Borders;Parkway Tasty;Multi-layered;Mexican Peso Mexican Unidad de Inversion (UDI) Investment Account Awesome;Jewelery compress Handmade;withdrawal South Africa;plug-and-play payment Ouguiya;partnerships;indexing deliver;Crest;Borders;relationships auxiliary;Car Customer-focused Investment Account;systemic Optimization cyan;Cedi;infrastructure;false;false;false;true;Checking Account Bike Massachusetts;Factors Key Frozen;Ergonomic grey;teal exuding;Universal Libyan Arab Jamahiriya driver;Gorgeous Fresh Sausages;synthesizing Street solid state;ubiquitous;Granite;1080p;Functionality programming;Aruba Polarised Cambridgeshire;redundant Lakes;bypassing;../fake-data/blob/hipster.txt;true;Brand paradigms;false;PRODUCTS_FROM_CURRENT_PLAN;false;markets;true;false;false;true;false;false
3;Enterprise-wide;RAM;Auto Loan Account compelling;invoice;SAS calculate ivory;Utah Iowa;Checking Account transition;override;core cross-platform Open-source;interactive;National withdrawal;wireless Niue;global;front-end Wooden;ROI indexing;Egypt Kids;white primary success;Principal;Facilitator needs-based bluetooth;Mali;Comoro Franc;Grocery Frozen neural-net;Concrete;Vista Up-sized panel;Somoni;payment Planner;HDD;true;true;true;true;false;Centralized Avon object-oriented;synthesizing;Wisconsin Kids Home Loan Account;Loop cross-platform mobile;Division;Connecticut Florida;Credit Card Account;Profound orchestrate Baby;unleash;Books;generating Soft engage;Producer;orchid;Customer Oklahoma deploy;Grocery Sierra Leone transmit;Belize;Expanded Soft Colombian Peso Unidad de Valor Real;groupware connecting quantifying;payment;front-end;true;true;true;false;Fresh;Kids orchestration artificial intelligence;hacking Rubber;Practical;Plastic Dynamic;Liberia Accountability;partnerships;actuating Gloves;Electronics back-end communities;Quality EXE;seize parse Hawaii;Sri Lanka Auto Loan Account Platinum;withdrawal;invoice Web;../fake-data/blob/hipster.txt;false;Garden Table Home Loan Account;false;PRODUCTS_FROM_ALL_PLANS;false;Borders open-source withdrawal;false;true;true;false;true;true
4;vertical Borders;Baby repurpose;Pizza;Architect;Ergonomic Rubber Chair Cambridgeshire;sky blue Avon;program;navigating mobile;Metrics generate neural;platforms olive zero administration;Louisiana;Azerbaijan Home Loan Account;Mountain parse Technician;Samoa Security;Solomon Islands;bluetooth Baby;relationships;silver;purple withdrawal;Checking Account Investment Account capability;wireless withdrawal Director;Shoals navigate;navigate Shoes;throughput;hard drive JBOD aggregate;knowledge user array neural;Soft Rwanda Franc input;true;false;false;false;false;virtual;Practical Plastic Car;generating models;digital Home Loan Account;Licensed;best-of-breed open-source TCP;Industrial;redundant multi-byte;Horizontal Bahraini Dinar Checking Account;Borders eyeballs;XML Villages;San Marino;Sports capacitor maroon;Books;Electronics;Grocery Micronesia;Cotton AGP calculating;Canyon;Web transmitting;Automotive Turkmenistan protocol;true;true;false;true;deposit Mountains;magnetic online tan;Malagasy Ariary deposit;SQL Money Market Account;encoding reboot;Avon Generic;quantify CSS;Movies;Kids matrix Monitored;Home Loan Account Architect North Carolina;Silver New Mexico;Saudi Arabia synergistic;standardization methodologies;Radial Books;../fake-data/blob/hipster.txt;false;copy Quality;false;PRODUCTS_FROM_ALL_PLANS;true;utilize;true;false;false;false;true;true
5;Intelligent;Borders Brand;Home Clothing;Towels;online parsing;SMTP synergistic Ports;bypassing;Computers;Generic Frozen Soap invoice;Auto Loan Account policy Washington;Developer;Reduced Towels neural;Mountain yellow;open-source;yellow New Taiwan Dollar Minnesota;next generation payment Ridges;Jewelery Generic Frozen Ball;Generic Cotton Keyboard Indiana;withdrawal Buckinghamshire;Slovenia circuit;GB sensor syndicate;Integration Utah De-engineered;Car copying;index;Metical Reduced Toys;Licensed embrace;Personal Loan Account invoice;true;true;true;true;true;auxiliary;National Rubber architect;Rustic Steel Shoes;Money Market Account relationships CSS;Alaska;Falkland Islands Pound Home Loan Account South Africa;analyzing Grass-roots;withdrawal Avon Handcrafted;compress Kansas;Money Market Account Borders sexy;redundant calculating;lavender navigating withdrawal;Buckinghamshire;hierarchy deliverables New York;enable Rupiah Bedfordshire;invoice Shoes Beauty;Officer Avon;cyan Rhode Island violet;synthesizing;ivory Fiji Dollar;false;false;false;false;withdrawal District Movies;Assimilated protocol;online;Mission;human-resource;National teal;Web Coordinator Optimized;Horizontal Niue;Stream;interface North Carolina Rue;bi-directional olive El Salvador Colon US Dollar;generating object-oriented invoice;disintermediate;Keyboard Practical action-items;../fake-data/blob/hipster.txt;false;Keyboard Soft GB;true;PRODUCTS_FROM_ALL_PLANS;true;white Hat uniform;true;false;true;false;true;true
6;National Somali Shilling out-of-the-box;implement;hacking;synthesizing Views best-of-breed;Principal;scalable 24/365 Internal;Technician compress;Shirt Small;Refined Plastic Ball;Guam ivory explicit;Unbranded Metal Towels Borders Indiana;reboot Outdoors;Jordan Music transmit;deposit Armenian Dram function;programming Rubber;payment Gold visionary;dynamic Refined;project;Cotton Crossroad;program Concrete Innovative;CFP Franc panel;Idaho Hat Granite;niches Belize;Locks Architect;Home Loan Account;auxiliary;Fantastic Auto Loan Account;false;true;false;true;false;Personal Loan Account;Sleek Steel Cheese Dynamic interface;calculating;calculate EXE Industrial;Metal;Yemeni Rial Serbia Fish;Function-based;Maryland white;salmon;human-resource salmon;projection;Bedfordshire;reboot utilisation Agent;Spring Ireland Dynamic;engage haptic;Utah Web;Garden;Bacon;functionalities solution leading edge;Customer Lane;true;false;false;false;Savings Account Brand calculate;Infrastructure Assistant Industrial;auxiliary Guyana;Avenue;Ball deliver;Handcrafted initiatives 3rd generation;Sausages;Horizontal facilitate;Directives hack driver;feed Berkshire;generate;Borders Internal Soft;Louisiana deposit New Zealand Dollar;Refined;../fake-data/blob/hipster.txt;false;Small primary metrics;false;ALL_PRODUCTS;true;Central;true;false;true;true;true;true
7;Jewelery;Garden Money Market Account;Product Generic;bandwidth-monitored Focused;Investment Account XML Hollow;Metrics Libyan Dinar Intelligent Concrete Shirt;Shirt green Product;Tala;invoice;Unbranded Port;Personal Loan Account dedicated Fantastic Metal Salad;invoice;Kansas;Terrace Analyst;Land;Court;4th generation;USB;ivory invoice;optical;Licensed Rubber Tuna;Representative Frozen;Strategist Cheese;Micronesia Timor-Leste;Tasty Concrete Pizza Money Market Account tan;Fish;Right-sized;false;false;false;false;false;Soap incremental Designer;black Global;Small;TCP Designer;Credit Card Account Borders Optimization;pricing structure green;Ergonomic Cotton Keyboard Principal;Operations Group THX;Regional Soap;Marketing overriding Executive;1080p Borders South Dakota;Up-sized violet panel;Borders Computer solution;Bike generate;Venezuela;markets bi-directional Euro;Unbranded Wooden Pants Group;Soft;lime Bypass;Implementation;false;true;true;true;compress;open system;Shirt Beauty override;port hack Wisconsin;District Kids;Mobility overriding feed;Colombian Peso Unidad de Valor Real neutral Planner;Monitored optical;Industrial transparent;model;incubate;Chicken violet;Books Stand-alone;Iceland white Granite;../fake-data/blob/hipster.txt;false;cultivate;false;PRODUCTS_FROM_ALL_PLANS;true;tertiary Accountability;true;true;false;false;false;false
8;value-added SSL Credit Card Account;Australia matrix eco-centric;Japan;invoice;withdrawal copy;extensible Metal Central;Orchestrator Bacon;Haven invoice;Djibouti Franc;transmitter secondary;withdrawal Legacy Minnesota;models needs-based;Slovenia Bedfordshire;wireless Handcrafted Granite Sausages Oklahoma;middleware expedite Concrete;Borders Haven;web-readiness;enable;Syrian Pound;Cordoba Oro;Soap;Berkshire Automated Tuna;Throughway Phased monitor;Bedfordshire;Chair XSS;Synergized metrics payment;web-readiness Generic;true;false;true;false;false;Trinidad and Tobago Dollar reintermediate;Health;Dynamic;Personal Loan Account;deposit Small Metal Towels;EXE Operations clear-thinking;Indiana;Soft North Carolina Bedfordshire;data-warehouse e-enable;systems invoice Plastic;Branch;Colorado one-to-one;Incredible Health;Frozen;bypassing Wooden;SQL;South Carolina;synthesize Vista;Bedfordshire;Bike;false;false;false;false;Metal;facilitate multi-byte;Ergonomic Concrete Ball sensor Wooden;Maryland;Sausages;Sports purple zero administration;Nuevo Sol;Borders;Mountains Kids;Buckinghamshire;payment;CSS wireless;port Mexico;Rustic;../fake-data/blob/hipster.txt;true;Intranet revolutionary;false;ALL_PRODUCTS;false;well-modulated Idaho Green;true;true;false;false;true;true
9;Berkshire Mountains;Fantastic Identity parse;portal;Licensed Cotton Table copying index;Frozen microchip;Massachusetts;generating Tuvalu programming;orange payment;monetize Cambridgeshire;North Carolina;XSS THX;Alaska Extended;Regional Assurance indigo;Designer Unbranded indigo;auxiliary Bedfordshire;Investment Account JBOD;Compatible;Lempira Practical Metal Mouse ivory;firewall integrate;Ergonomic;cohesive channels;Grass-roots connect Cambridgeshire;Steel New Mexico;Wooden bottom-line channels;backing up;Jordanian Dinar deposit;Assurance deliverables Rubber;false;true;true;true;false;Computer attitude Multi-lateral;Computers;Generic 1080p;Web Regional UAE Dirham;Pants back up;sky blue deposit bandwidth;Direct Knoll;invoice Rustic Frozen Sausages;empowering Buckinghamshire;Applications;capability;e-markets;Borders;Electronics hierarchy Licensed Metal Mouse;sensor metrics exploit;tangible Generic mobile;Bacon;Checking Account;parse;Car Plastic;true;false;true;true;Islands Outdoors model;regional Auto Loan Account;Estate Personal Loan Account;cultivate Pre-emptive;quantify Fresh Coordinator;holistic;azure payment object-oriented;bypassing Refined;redundant Sleek Soft Tuna;bifurcated microchip Samoa;withdrawal orchid;FTP value-added XML;French Southern Territories groupware Fantastic;B2B Garden Division;../fake-data/blob/hipster.txt;false;holistic;true;ALL_PRODUCTS;true;Phased;false;false;true;false;false;true
10;JBOD Beauty Home Loan Account;digital Wisconsin hierarchy;Angola;parsing;cultivate Fantastic;Factors Handmade Granite Fish;Tala;content Shoes;District FTP Associate;payment payment Meadow;Berkshire back-end;Generic Steel Mouse;Assistant eyeballs Streamlined;Granite;Tools Practical Tala;Philippine Peso Marketing;Course ROI heuristic;Marketing Turkish Lira Usability;white deploy Rustic Metal Towels;Antarctica (the territory South of 60 deg S);payment;Bedfordshire;e-tailers Car web-readiness;parse Bacon JBOD;Virgin Islands, U.S.;aggregate bus Granite;Idaho Senior;true;true;true;true;false;Soft;Borders Chilean Peso Unidades de fomento Avon;Open-architected relationships Belgium;deposit Jamaican Dollar deploy;Manager fuchsia installation;Rustic Steel Shirt;Automotive Global synergize;microchip Home Loan Account;SMS;firewall Accounts Burgs;Tasty Frozen Keyboard;Face to face digital Gateway;Distributed Licensed Plastic Soap Group;digital Planner;efficient;array Naira Montserrat;microchip optical white;connecting Interactions;Personal Loan Account invoice grey;Designer Idaho;false;false;false;true;ubiquitous PNG;ivory;enable;payment;Kids program multi-byte;Tools Devolved framework;Trinidad and Tobago Wooden pricing structure;Credit Card Account e-business Generic;Dobra Mouse platforms;transmitter;Crossroad Specialist;Estate PCI;Graphical User Interface;Personal Loan Account executive structure;../fake-data/blob/hipster.txt;false;Handmade heuristic Accountability;true;PRODUCTS_FROM_ALL_PLANS;false;Engineer encryption system;true;false;true;false;false;true
