id;shop;vendor_javascript;vendor_css;customer_javascript;customer_css;bundle_javascript;bundle_css
1;Tuna Dynamic Granite;blue back-end Games;Beauty Analyst;Tactics;purple Infrastructure target;user-facing Multi-layered Gorgeous Rubber Hat;Buckinghamshire
2;program parse Regional;SMS;SAS;Ergonomic Granite Keyboard;Exclusive;Springs Silver;synthesize orchestration
3;infrastructures Junction Metal;Direct Crossroad Ball;deposit Florida withdrawal;calculating parsing system engine;indigo transmit Jordanian Dinar;Granite firewall Advanced;coherent Realigned
4;Greens;Guarani;panel digital Salad;Cotton Communications Rustic;Function-based killer;connecting Common withdrawal;Regional Reverse-engineered Belarus
5;Security matrix;PNG deposit;hard drive;Optional Electronics;Licensed Organic;Implementation transmit;Iranian Rial Synergized
6;Tactics;Sausages hardware leading edge;Lithuanian Litas;eyeballs Pizza Arkansas;GB Fantastic;USB web-readiness Handmade Concrete Shoes;Data Metrics
7;compress deposit;New Mexico Bridge Plastic;payment Quality-focused;Frozen architect;Assimilated engage Course;Bedfordshire white Director;Plastic navigating
8;Security Tasty revolutionize;solution-oriented Uganda Shilling;copy;Bacon Soap;Denar Books;Centers holistic mobile;Forward Brand
9;e-commerce Wisconsin;tan 4th generation Berkshire;Oklahoma Auto Loan Account circuit;SAS;Loop auxiliary;process improvement Manager;moratorium
10;California syndicate Intelligent Concrete Sausages;Music haptic THX;redundant Small Metal Bike deliver;Missouri;local area network;panel collaboration Branding;quantifying
