id;shop;email_setting_type;send_email_disabled;subject;from_email;logo;heading;heading_text_color;content_text_color;content_link_color;content;footer_text_color;footer_link_color;footer_text;template_background_color
1;Soft;SUBSCRIPTION_CREATED;true;../fake-data/blob/hipster.txt;Seamless connecting Checking Account;Senior;../fake-data/blob/hipster.txt;needs-based;cyan;lavender Buckinghamshire Missouri;../fake-data/blob/hipster.txt;cross-platform Borders Soft;Bacon;../fake-data/blob/hipster.txt;Field
2;Functionality firewall dynamic;SUBSCRIPTION_CREATED;true;../fake-data/blob/hipster.txt;definition Horizontal;Iraqi Dinar payment;../fake-data/blob/hipster.txt;Borders hard drive e-commerce;Garden;Engineer Automotive multi-tasking;../fake-data/blob/hipster.txt;Swiss Franc;needs-based Lesotho mesh;../fake-data/blob/hipster.txt;Station Optimization
3;Senior neural incentivize;SUBSCRIPTION_CREATED;false;../fake-data/blob/hipster.txt;generating Plastic application;Configurable Trinidad and Tobago Dollar;../fake-data/blob/hipster.txt;systems Identity platforms;web-enabled Persevering silver;Buckinghamshire e-markets Car;../fake-data/blob/hipster.txt;Shirt Baby;Iowa scalable;../fake-data/blob/hipster.txt;sticky
4;Ergonomic Plastic Gloves;SUBSCRIPTION_CREATED;false;../fake-data/blob/hipster.txt;integrate;Armenia;../fake-data/blob/hipster.txt;SQL Developer De-engineered;open architecture strategize;collaborative;../fake-data/blob/hipster.txt;iterate;SDD Garden Ergonomic Metal Gloves;../fake-data/blob/hipster.txt;Towels Senior Bedfordshire
5;Chicken;SUBSCRIPTION_CREATED;false;../fake-data/blob/hipster.txt;International secondary violet;Interactions infomediaries;../fake-data/blob/hipster.txt;bricks-and-clicks;morph;copying transmit system;../fake-data/blob/hipster.txt;system-worthy Soft;virtual California Borders;../fake-data/blob/hipster.txt;Practical Rubber Table Tactics Auto Loan Account
6;Licensed EXE well-modulated;SUBSCRIPTION_CREATED;true;../fake-data/blob/hipster.txt;Metal Jewelery Granite;Keyboard Panama redefine;../fake-data/blob/hipster.txt;Netherlands Antillian Guilder sensor;Balanced Lebanese Pound moratorium;Toys hub empower;../fake-data/blob/hipster.txt;B2C;Vietnam Baby Massachusetts;../fake-data/blob/hipster.txt;multimedia maximized Keyboard
7;parsing index calculating;SUBSCRIPTION_CREATED;false;../fake-data/blob/hipster.txt;whiteboard system-worthy;Program Estates;../fake-data/blob/hipster.txt;full-range;reboot Cotton Latvia;Principal copy Alaska;../fake-data/blob/hipster.txt;Cuba HDD;Buckinghamshire;../fake-data/blob/hipster.txt;XML extensible payment
8;disintermediate Markets;SUBSCRIPTION_CREATED;true;../fake-data/blob/hipster.txt;bypass Checking Account Oregon;alarm Uganda Shilling Argentina;../fake-data/blob/hipster.txt;Belarussian Ruble;alarm Rustic Canyon;digital;../fake-data/blob/hipster.txt;Handcrafted Steel Chair;Pizza Mauritius Rupee;../fake-data/blob/hipster.txt;haptic compressing
9;input;SUBSCRIPTION_CREATED;true;../fake-data/blob/hipster.txt;Ergonomic mindshare;sky blue;../fake-data/blob/hipster.txt;Lodge Soft reinvent;Utah;Niue;../fake-data/blob/hipster.txt;Bedfordshire;Steel;../fake-data/blob/hipster.txt;portals Mountain Representative
10;time-frame Incredible Shoes;SUBSCRIPTION_CREATED;false;../fake-data/blob/hipster.txt;infomediaries;Liberian Dollar;../fake-data/blob/hipster.txt;Small Bosnia and Herzegovina;salmon Path;purple efficient;../fake-data/blob/hipster.txt;panel;Alaska embrace;../fake-data/blob/hipster.txt;Forest
