id;shop;name;title;description;price_summary;action_button_text;action_button_description;status;show_bundle_widget;customer_include_tags;start_date;end_date;discount_type;discount_value;bundle_level;products;variants;discount_condition
1;niches Rhode Island quantifying;Usability benchmark Saint Lucia;help-desk Handcrafted navigate;digital;Money Market Account 24/7 indexing;Director Indiana;Antarctica (the territory South of 60 deg S) fuchsia productize;ACTIVE;true;Buckinghamshire;2022-07-27T22:10:45;2022-07-27T13:51:17;PERCENTAGE;87765;PRODUCT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
2;Berkshire Tactics;e-commerce Cambridgeshire Investment Account;optimize Springs;yellow mobile protocol;Berkshire Central;Trinidad and Tobago Dollar Producer;Pants Group;ACTIVE;true;quantify Plastic Integration;2022-07-28T03:58:43;2022-07-27T15:36:39;FIXED_BUNDLE_AMOUNT;19969;PRODUCT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
3;backing up Frozen Wall;Computer out-of-the-box Car;driver haptic;Soap;Dynamic back-end contextually-based;transmit;grey envisioneer Handcrafted;PAUSED;true;Face to face Rustic upward-trending;2022-07-27T16:38:09;2022-07-28T05:05:00;PERCENTAGE;66749;VARIANT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
4;HDD payment ubiquitous;lime bandwidth;secured line;Gibraltar Pound Pizza Baby;Hungary foreground e-services;next-generation Cotton;Argentine Peso;PAUSED;false;Automotive;2022-07-27T12:43:34;2022-07-27T19:05:43;FIXED_BUNDLE_AMOUNT;54631;PRODUCT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
5;mint green Practical Wooden Pants Kip;Quality back-end;Automotive;transmitting;Cocos (Keeling) Islands;neutral;Persistent;PAUSED;true;Directives Knolls;2022-07-28T07:28:59;2022-07-27T23:55:24;PERCENTAGE;7378;PRODUCT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
6;redundant Fords structure;hack Steel synthesize;invoice Graphic Interface;Unbranded Fresh Pizza;Cheese Estates Indiana;Bedfordshire;Officer Ohio grow;PAUSED;true;Niue;2022-07-27T10:19:51;2022-07-27T19:51:14;FIXED_BUNDLE_AMOUNT;18848;VARIANT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
7;Avon SMS;Handcrafted Steel Shirt;eyeballs;multi-state Rand Configurable;Borders;Applications Home Loan Account;Gourde US Dollar;PAUSED;true;monetize pricing structure open-source;2022-07-28T06:10:06;2022-07-28T07:00:57;FIXED_BUNDLE_AMOUNT;26633;PRODUCT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
8;Fantastic;European Unit of Account 17(E.U.A.-17);success incubate;Australian Dollar;Frozen Response Bolivar Fuerte;disintermediate Consultant;knowledge user Tasty;ACTIVE;false;Refined Rubber Sausages Fiji Dollar protocol;2022-07-28T03:57:52;2022-07-27T12:29:56;PERCENTAGE;41322;VARIANT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
9;olive Arizona;Principal secondary hacking;Bacon Legacy ivory;Team-oriented mobile Identity;Architect streamline;Liaison Soap;programming implement Table;PAUSED;true;Ergonomic Frozen Salad compressing;2022-07-27T16:18:30;2022-07-27T23:46:32;FIXED_AMOUNT;6112;PRODUCT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
10;target Rustic;target withdrawal;Paradigm Marketing Monitored;database context-sensitive payment;Refined;Avon;Human;PAUSED;true;Borders Officer;2022-07-28T06:17:22;2022-07-28T02:26:27;PERCENTAGE;24238;VARIANT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;BUY_ALL
